Date,Year,County,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,median_square_feet,average_listing_price,total_listing_count,violent_crime_rate,30_Year_Fixed_Rate,Number_of_Schools,median_listing_price_mm,Number_of_Parks,Price_Status
2022-06,2022,Wake,542078.0,1669.0,14.0,2160.0,56.0,760.0,2404.0,674090.0,2827.0,,5.52,,0.017985915,1627.0,up
2022-06,2022,Davidson,291745.0,181.0,35.0,196.0,24.0,80.0,1864.0,341107.0,561.0,,5.52,,0.019232113,126.0,up
2022-06,2022,Avery,359910.0,55.0,33.0,40.0,0.0,20.0,1713.0,742302.0,78.0,,5.52,,,9.0,down
2022-06,2022,Duplin,264500.0,42.0,48.0,28.0,4.0,20.0,1870.0,324109.0,96.0,,5.52,,0.068900788,9.0,up
2022-06,2022,Surry,248400.0,62.0,31.0,68.0,0.0,28.0,4296.0,321958.0,136.0,,5.52,,0.131920711,13.0,up
2022-06,2022,Robeson,217000.0,94.0,19.0,84.0,0.0,32.0,1850.0,224319.0,210.0,,5.52,,-0.011164274,47.0,down
2022-06,2022,Iredell,477495.0,334.0,31.0,368.0,40.0,168.0,2417.0,647715.0,797.0,,5.52,,0.028662832,104.0,up
2022-06,2022,Stanly,364775.0,96.0,30.0,104.0,4.0,44.0,1760.0,453815.0,281.0,,5.52,,0.042214286,22.0,up
2022-06,2022,New hanover,518470.0,436.0,35.0,496.0,12.0,164.0,1983.0,797307.0,1274.0,,5.52,,0.017116401,,up
2022-06,2022,Cabarrus,382688.0,240.0,27.0,360.0,4.0,164.0,1862.0,436228.0,707.0,,5.52,,0.047401459,120.0,up
2022-06,2022,Forsyth,348604.0,373.0,33.0,588.0,16.0,164.0,2244.0,410514.0,1379.0,,5.52,,0.064064527,479.0,up
2022-06,2022,Camden,389900.0,62.0,63.0,24.0,0.0,16.0,2232.0,383653.0,86.0,,5.52,,,9.0,down
2022-06,2022,Mitchell,345000.0,74.0,38.0,28.0,0.0,32.0,1613.0,421609.0,120.0,,5.52,,,12.0,down
2022-06,2022,Swain,457000.0,50.0,51.0,24.0,0.0,8.0,2087.0,734688.0,77.0,,5.52,,,1.0,down
2022-06,2022,Polk,662000.0,78.0,37.0,60.0,0.0,32.0,2576.0,912496.0,133.0,,5.52,,,40.0,down
2022-06,2022,Macon,675000.0,220.0,44.0,116.0,0.0,64.0,1828.0,1119889.0,336.0,,5.52,,-0.020319303,14.0,down
2022-06,2022,Pitt,329450.0,140.0,35.0,252.0,8.0,40.0,2127.0,394035.0,591.0,,5.52,,0.146112367,100.0,up
2022-06,2022,Washington,230000.0,22.0,54.0,4.0,0.0,0.0,2100.0,252352.0,33.0,,5.52,,,9.0,down
2022-06,2022,Person,362000.0,34.0,21.0,44.0,0.0,12.0,1607.0,434736.0,75.0,,5.52,,-0.153216374,9.0,down
2022-06,2022,Stokes,375218.0,38.0,37.0,40.0,0.0,8.0,2205.0,392793.0,98.0,,5.52,,0.103744668,16.0,up
2022-06,2022,Randolph,263000.0,89.0,35.0,144.0,0.0,28.0,1779.0,340344.0,299.0,,5.52,,0.033398821,90.0,up
2022-06,2022,Granville,379950.0,50.0,18.0,60.0,0.0,12.0,2000.0,382614.0,83.0,,5.52,,0.0132,63.0,up
2022-06,2022,Rockingham,282700.0,116.0,35.0,104.0,0.0,32.0,1914.0,389551.0,293.0,,5.52,,0.033638026,73.0,up
2022-05,2022,Franklin,436539.0,97.0,15.0,116.0,0.0,28.0,2309.0,489655.0,157.0,,5.23,,0.199282967,58.0,up
2022-05,2022,Warren,265000.0,18.0,49.0,8.0,0.0,0.0,1385.0,433542.0,25.0,,5.23,,,1.0,down
2022-05,2022,Davie,232500.0,66.0,60.0,60.0,0.0,8.0,1529.0,358838.0,169.0,,5.23,,0.033333333,9.0,up
2022-05,2022,Harnett,337400.0,197.0,20.0,320.0,20.0,44.0,2101.0,371000.0,621.0,,5.23,,0.022424242,108.0,up
2022-05,2022,Chatham,682500.0,110.0,22.0,96.0,4.0,16.0,2782.0,791976.0,188.0,,5.23,,0.001401228,90.0,up
2022-05,2022,Macon,689000.0,180.0,39.0,112.0,0.0,32.0,2000.0,1131196.0,311.0,,5.23,,-0.080106809,14.0,down
2022-05,2022,Chowan,299000.0,38.0,42.0,28.0,0.0,4.0,2040.0,305343.0,73.0,,5.23,,,4.0,down
2022-05,2022,Hertford,165000.0,26.0,69.0,12.0,0.0,4.0,2000.0,229847.0,42.0,,5.23,,,3.0,down
2022-05,2022,New hanover,509745.0,349.0,35.0,524.0,24.0,120.0,1916.0,771629.0,1217.0,,5.23,,0.021533066,,up
2022-05,2022,Lee,323950.0,63.0,22.0,140.0,0.0,16.0,2177.0,422861.0,242.0,,5.23,,-0.099888858,22.0,down
2022-05,2022,Currituck,531613.0,199.0,32.0,168.0,32.0,44.0,2585.0,929431.0,377.0,,5.23,,,3.0,down
2022-05,2022,Richmond,169450.0,59.0,35.0,48.0,0.0,20.0,1470.0,262869.0,122.0,,5.23,,0.072468354,15.0,up
2022-05,2022,Washington,225000.0,19.0,54.0,4.0,0.0,4.0,2095.0,252816.0,30.0,,5.23,,,9.0,down
2022-05,2022,Gaston,317500.0,234.0,25.0,352.0,4.0,112.0,1611.0,375058.0,592.0,,5.23,,0.06187291,99.0,up
2022-05,2022,Halifax,286750.0,65.0,49.0,52.0,0.0,16.0,2384.0,579802.0,145.0,,5.23,,0.042727273,20.0,up
2022-05,2022,Wake,532500.0,1049.0,9.0,1900.0,52.0,324.0,2348.0,661798.0,2143.0,,5.23,,0.040014687,1627.0,up
2022-05,2022,Cleveland,254900.0,91.0,26.0,108.0,0.0,44.0,1642.0,369141.0,174.0,,5.23,,-0.038113208,38.0,down
2022-05,2022,Alleghany,404450.0,48.0,40.0,40.0,0.0,8.0,1732.0,433872.0,86.0,,5.23,,,0.0,down
2022-05,2022,Pitt,287450.0,116.0,28.0,248.0,12.0,36.0,1969.0,381278.0,604.0,,5.23,,0.026607143,100.0,up
2022-05,2022,Beaufort,299999.0,61.0,41.0,56.0,0.0,16.0,1883.0,363890.0,132.0,,5.23,,-0.059564263,18.0,down
2022-05,2022,Orange,626500.0,94.0,11.0,164.0,0.0,28.0,2451.0,829950.0,170.0,,5.23,,-0.036153846,126.0,down
2022-05,2022,Onslow,313950.0,334.0,35.0,664.0,48.0,84.0,1784.0,450232.0,1671.0,,5.23,,0.099649737,58.0,up
2022-05,2022,Nash,289900.0,118.0,20.0,160.0,4.0,36.0,1828.0,316710.0,279.0,,5.23,,0.171313131,64.0,up
2022-05,2022,Mcdowell,384000.0,55.0,41.0,52.0,0.0,24.0,1695.0,522618.0,123.0,,5.23,,0.052054795,,up
2022-05,2022,Granville,375000.0,34.0,25.0,44.0,0.0,12.0,1956.0,400952.0,62.0,,5.23,,-0.050632911,63.0,down
2022-05,2022,Henderson,565000.0,205.0,33.0,236.0,4.0,76.0,2206.0,913580.0,461.0,,5.23,,0.076190476,104.0,up
2022-05,2022,Mitchell,307450.0,64.0,39.0,56.0,0.0,20.0,1524.0,375580.0,97.0,,5.23,,,12.0,down
2022-05,2022,Yadkin,282400.0,23.0,29.0,20.0,0.0,4.0,2188.0,414357.0,64.0,,5.23,,0.130052021,4.0,up
2022-05,2022,Catawba,357500.0,182.0,26.0,252.0,4.0,64.0,1977.0,537168.0,390.0,,5.23,,0.083333333,65.0,up
2022-05,2022,Pamlico,429250.0,31.0,41.0,20.0,0.0,4.0,2016.0,495013.0,63.0,,5.23,,,10.0,down
2022-05,2022,Pasquotank,335745.0,109.0,41.0,84.0,0.0,36.0,2114.0,330084.0,220.0,,5.23,,0.033061538,21.0,up
2022-05,2022,Union,524950.0,266.0,25.0,412.0,64.0,112.0,2518.0,748563.0,760.0,,5.23,,0.052004008,130.0,up
2022-05,2022,Bertie,131950.0,18.0,81.0,0.0,0.0,4.0,1448.0,179775.0,30.0,,5.23,,,10.0,down
2022-05,2022,Polk,774450.0,64.0,37.0,40.0,0.0,8.0,2465.0,1032970.0,115.0,,5.23,,,40.0,down
2022-05,2022,Wilson,249950.0,53.0,34.0,112.0,0.0,4.0,1681.0,304759.0,197.0,,5.23,,0.136136364,70.0,up
2022-05,2022,Tyrrell,324750.0,9.0,51.0,0.0,0.0,0.0,1089.0,340169.0,19.0,,5.23,,,0.0,down
2022-05,2022,Johnston,407450.0,269.0,11.0,448.0,24.0,88.0,2192.0,446413.0,666.0,,5.23,,0.023743719,248.0,up
2022-05,2022,Carteret,494000.0,196.0,38.0,204.0,12.0,56.0,1861.0,642852.0,592.0,,5.23,,0.025108944,44.0,up
2022-05,2022,Hyde,552500.0,15.0,101.0,8.0,0.0,4.0,1200.0,473160.0,29.0,,5.23,,,0.0,down
2022-05,2022,Durham,462660.0,292.0,15.0,532.0,4.0,100.0,1759.0,639580.0,570.0,,5.23,,0.028133333,412.0,up
2022-05,2022,Dare,725000.0,234.0,40.0,208.0,0.0,76.0,2180.0,974532.0,493.0,,5.23,,0.0,22.0,up
2022-05,2022,Davidson,286240.0,167.0,29.0,208.0,12.0,64.0,1804.0,319462.0,560.0,,5.23,,0.031532668,126.0,up
2022-05,2022,Rowan,277450.0,157.0,29.0,212.0,0.0,48.0,1563.0,345621.0,348.0,,5.23,,0.0092761,119.0,up
2022-05,2022,Cherokee,382450.0,223.0,34.0,184.0,0.0,80.0,1944.0,420219.0,419.0,,5.23,,-0.019107463,2.0,down
2022-05,2022,Yancey,575000.0,70.0,30.0,64.0,0.0,4.0,1892.0,937725.0,100.0,,5.23,,,4.0,down
2022-05,2022,Randolph,254500.0,83.0,30.0,148.0,0.0,28.0,1753.0,326319.0,288.0,,5.23,,0.060858691,90.0,up
2022-05,2022,Mecklenburg,491500.0,1094.0,20.0,1736.0,92.0,528.0,2072.0,702168.0,3213.0,,5.23,,0.070036793,905.0,up
2022-05,2022,Wilkes,449000.0,70.0,44.0,80.0,0.0,20.0,2747.0,542287.0,142.0,,5.23,,0.360606061,34.0,up
2022-05,2022,Camden,394450.0,55.0,56.0,32.0,0.0,12.0,2000.0,385492.0,89.0,,5.23,,,9.0,down
2022-05,2022,Greene,165000.0,10.0,70.0,12.0,0.0,0.0,1593.0,230077.0,39.0,,5.23,,,23.0,down
2022-05,2022,Haywood,447000.0,161.0,35.0,144.0,4.0,76.0,1908.0,662062.0,306.0,,5.23,,-0.004454343,26.0,down
2022-05,2022,Sampson,270225.0,45.0,29.0,56.0,4.0,8.0,2001.0,289207.0,127.0,,5.23,,0.004553903,22.0,up
2022-05,2022,Edgecombe,223120.0,60.0,44.0,40.0,8.0,8.0,1607.0,206129.0,158.0,,5.23,,0.135528526,83.0,up
2022-05,2022,Caswell,495000.0,12.0,19.0,12.0,0.0,0.0,2520.0,428762.0,22.0,,5.23,,,37.0,down
2022-05,2022,Vance,372000.0,44.0,43.0,24.0,0.0,16.0,1754.0,364569.0,71.0,,5.23,,-0.134682484,15.0,down
2022-05,2022,Avery,452000.0,43.0,39.0,32.0,0.0,12.0,1871.0,830920.0,59.0,,5.23,,,9.0,down
2022-05,2022,Perquimans,337500.0,30.0,50.0,16.0,0.0,0.0,1904.0,362659.0,63.0,,5.23,,,4.0,down
2022-05,2022,Robeson,219450.0,66.0,33.0,84.0,0.0,12.0,1950.0,237864.0,185.0,,5.23,,0.070487805,47.0,up
2022-05,2022,Hoke,307870.0,62.0,30.0,140.0,8.0,4.0,2280.0,317895.0,276.0,,5.23,,0.041861252,24.0,up
2022-05,2022,Clay,399000.0,85.0,40.0,44.0,0.0,32.0,2120.0,477487.0,139.0,,5.23,,,5.0,down
2022-05,2022,Brunswick,440813.0,534.0,34.0,692.0,64.0,132.0,1867.0,633909.0,1779.0,,5.23,,0.008955138,70.0,up
2022-05,2022,Gates,163750.0,11.0,22.0,12.0,0.0,0.0,1456.0,176443.0,23.0,,5.23,,,2.0,down
2022-05,2022,Lincoln,472500.0,107.0,32.0,140.0,24.0,56.0,2323.0,638221.0,327.0,,5.23,,0.014614747,27.0,up
2022-05,2022,Lenoir,182900.0,49.0,28.0,44.0,4.0,8.0,1692.0,200401.0,118.0,,5.23,,0.016675931,13.0,up
2022-05,2022,Watauga,599500.0,254.0,34.0,184.0,8.0,56.0,2016.0,902864.0,428.0,,5.23,,-0.025203252,44.0,down
2022-05,2022,Montgomery,180000.0,10.0,44.0,8.0,0.0,4.0,1266.0,202930.0,21.0,,5.23,,-0.181818182,10.0,down
2022-05,2022,Duplin,247450.0,41.0,43.0,36.0,4.0,12.0,2024.0,336418.0,100.0,,5.23,,0.062021725,9.0,up
2022-05,2022,Stanly,350000.0,86.0,34.0,120.0,4.0,44.0,1781.0,454664.0,210.0,,5.23,,0.167055685,22.0,up
2022-05,2022,Graham,368200.0,40.0,37.0,20.0,0.0,4.0,1900.0,519259.0,58.0,,5.23,,,1.0,down
2022-05,2022,Anson,139500.0,19.0,39.0,16.0,0.0,4.0,1487.0,252814.0,44.0,,5.23,,,3.0,down
2022-05,2022,Jones,392450.0,6.0,50.0,4.0,0.0,0.0,2179.0,526114.0,11.0,,5.23,,,18.0,down
2022-05,2022,Moore,450000.0,187.0,32.0,352.0,4.0,32.0,2433.0,575937.0,672.0,,5.23,,0.0,61.0,up
2022-05,2022,Transylvania,607400.0,95.0,37.0,84.0,0.0,32.0,2056.0,963934.0,180.0,,5.23,,-0.131044349,17.0,down
2022-05,2022,Surry,219450.0,43.0,45.0,52.0,0.0,20.0,4296.0,301592.0,114.0,,5.23,,-0.045454545,13.0,down
2022-05,2022,Swain,417450.0,40.0,75.0,28.0,0.0,8.0,2087.0,720833.0,79.0,,5.23,,,1.0,down
2022-05,2022,Stokes,339950.0,35.0,31.0,48.0,0.0,4.0,2962.0,338459.0,97.0,,5.23,,0.095676277,16.0,up
2022-05,2022,Pender,475650.0,86.0,36.0,144.0,4.0,20.0,2479.0,589560.0,356.0,,5.23,,0.068876404,50.0,up
2022-05,2022,Ashe,532000.0,45.0,34.0,52.0,0.0,16.0,1882.0,610430.0,104.0,,5.23,,0.074747475,5.0,up
2022-05,2022,Northampton,180000.0,16.0,31.0,8.0,0.0,4.0,1642.0,283465.0,35.0,,5.23,,,4.0,down
2022-05,2022,Person,427500.0,30.0,16.0,40.0,0.0,8.0,1865.0,527344.0,62.0,,5.23,,0.09685696,9.0,up
2022-05,2022,Scotland,244530.0,37.0,43.0,40.0,4.0,4.0,2123.0,271176.0,90.0,,5.23,,0.43,13.0,up
2022-05,2022,Martin,150000.0,28.0,43.0,24.0,0.0,0.0,1615.0,195782.0,54.0,,5.23,,0.072194425,23.0,up
2022-05,2022,Buncombe,650000.0,411.0,34.0,480.0,8.0,156.0,2102.0,967452.0,1044.0,,5.23,,0.018808777,211.0,up
2022-05,2022,Iredell,464190.0,273.0,28.0,344.0,16.0,172.0,2197.0,619317.0,590.0,,5.23,,0.054977273,104.0,up
2022-05,2022,Alexander,307400.0,28.0,41.0,28.0,0.0,12.0,1772.0,355162.0,54.0,,5.23,,0.060365643,25.0,up
2022-05,2022,Craven,301500.0,124.0,41.0,240.0,16.0,32.0,1888.0,388807.0,580.0,,5.23,,-0.003931415,63.0,down
2022-05,2022,Cumberland,252450.0,334.0,33.0,688.0,28.0,92.0,1950.0,290989.0,1429.0,,5.23,,0.084686775,83.0,up
2022-05,2022,Wayne,246400.0,136.0,15.0,240.0,40.0,28.0,1916.0,288347.0,360.0,,5.23,,-0.103674063,36.0,down
2022-05,2022,Rockingham,273500.0,105.0,28.0,148.0,0.0,20.0,1454.0,361130.0,294.0,,5.23,,0.402564103,73.0,up
2022-05,2022,Columbus,282000.0,46.0,42.0,36.0,0.0,12.0,1899.0,322617.0,90.0,,5.23,,0.086705202,5.0,up
2022-05,2022,Madison,502500.0,56.0,37.0,48.0,0.0,16.0,1926.0,661216.0,110.0,,5.23,,,6.0,down
2022-05,2022,Rutherford,330450.0,112.0,30.0,140.0,0.0,40.0,1792.0,458470.0,263.0,,5.23,,-0.1188,25.0,down
2022-05,2022,Guilford,337000.0,382.0,28.0,844.0,24.0,148.0,2234.0,428299.0,1585.0,,5.23,,0.024316109,788.0,up
2022-05,2022,Cabarrus,365369.0,182.0,21.0,300.0,8.0,116.0,1796.0,440730.0,508.0,,5.23,,0.029497041,120.0,up
2022-05,2022,Alamance,369900.0,225.0,14.0,388.0,16.0,32.0,2000.0,407000.0,567.0,,5.23,,0.0275,54.0,up
